gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	resolution	positive_direction	passes_primary_filter	rank
IGKV3-20	8	1.42274157948277	1.27778640232275	317241099.5	0.839683009116606	0	0	79.7610998422358	16.7022900763359	1.0	TRUE	TRUE	5
IGKV4-1	8	1.14695934441323	1.0216266047282	310023008.5	0.820577955009462	0	0	75.8620689655172	15.5654726952437	1.0	TRUE	TRUE	6
TXNDC5	8	1.3422454223186	1.13945345115889	305887870	0.809632949635737	0	0	73.7435203966644	17.1285965942455	1.0	TRUE	TRUE	7
IGKV1-39	8	1.12642880432715	0.983312401410515	301680801	0.798497556513443	0	0	72.5940951093081	16.0974750440399	1.0	TRUE	TRUE	8
IGHA1	8	4.60956264018937	3.00308093558009	301233133.5	0.797312657097585	0	0	96.1460446247465	71.7369348209043	1.0	TRUE	TRUE	9
IGKV3-15	8	0.824923945865165	0.741530772539379	300820280	0.796219904393882	0	0	68.1992337164751	10.1785085143864	1.0	TRUE	TRUE	10
IGLC2	9	6.6391864245303	5.50429464752442	368913707.5	0.979171405301511	0	0	99.7739602169982	70.1043880558459	1.0	TRUE	TRUE	1
IGLC3	9	5.71739822906011	4.91740588021653	366738777.5	0.973398702305561	0	0	99.3444846292948	60.262085647523	1.0	TRUE	TRUE	2
IGLC7	9	1.66536307361522	1.60295942749971	352237324	0.934908919156179	0	0	90.3254972875226	9.20587579112995	1.0	TRUE	TRUE	3
IGLL5	9	3.94186455901939	3.32924439913218	351764187	0.933653118106308	0	0	98.1916817359856	49.0482956213379	1.0	TRUE	TRUE	4
JCHAIN	9	4.68296373800186	3.72134580195674	344335544.5	0.913936002237938	0	0	96.4737793851718	48.3320221222832	1.0	TRUE	TRUE	5
MZB1	9	2.30055444764954	1.99936554970843	332555831	0.882670266139357	0	0	86.8670886075949	20.9069666404424	1.0	TRUE	TRUE	6
SSR4	9	2.77907261272621	2.00363696270191	331411261	0.879632346450873	0	0	92.992766726944	46.220776628348	1.0	TRUE	TRUE	7
IGLC1	9	2.67386418153642	2.37300928095337	330065344	0.876060011204129	0	0	90.7097649186257	32.3532519991076	1.0	TRUE	TRUE	8
IGLV2-14	9	1.54671616050166	1.48011515835634	324251383	0.860628585786741	0	0	78.3227848101266	11.0493993870578	1.0	TRUE	TRUE	9
